episode,reward
0,29006.0
1,34400.0
2,43360.0
3,29604.0
4,28572.0
5,26784.0
6,25758.0
7,37718.0
8,29222.0
9,28000.0
10,41458.0
11,33270.0
12,30058.0
13,37206.0
14,26036.0
15,31680.0
16,30968.0
17,42480.0
18,34648.0
19,36652.0
20,25266.0
21,34560.0
22,45760.0
23,37658.0
24,34374.0
25,47960.0
26,45360.0
27,31466.0
28,37602.0
29,36804.0
30,27408.0
31,35500.0
32,25818.0
33,30108.0
34,31516.0
35,29948.0
36,28160.0
37,27162.0
38,24726.0
39,36160.0
40,30224.0
41,30478.0
42,28194.0
43,42742.0
44,29906.0
45,34964.0
46,41560.0
47,30980.0
48,31032.0
49,41200.0
50,39240.0
51,31244.0
52,27816.0
53,31082.0
54,32166.0
55,41560.0
56,39514.0
57,47280.0
58,34176.0
59,27988.0
60,42940.0
61,37560.0
62,38700.0
63,27104.0
64,36300.0
65,31740.0
66,32270.0
67,42500.0
68,24432.0
69,35768.0
70,33586.0
71,41600.0
72,30752.0
73,40400.0
74,44480.0
75,35600.0
76,24936.0
77,29150.0
78,30480.0
79,40840.0
80,39420.0
81,38400.0
82,34640.0
83,28598.0
84,33280.0
85,31520.0
86,41920.0
87,45100.0
88,28124.0
89,30966.0
90,33320.0
91,37040.0
92,34570.0
93,30492.0
94,42360.0
95,32202.0
96,37518.0
97,28208.0
98,30096.0
99,28288.0
100,48448.0
101,30906.0
102,30236.0
103,32276.0
104,38216.0
105,21240.0
106,34980.0
107,24222.0
108,31676.0
109,36320.0
110,34800.0
111,32202.0
112,41300.0
113,27718.0
114,24966.0
115,40940.0
116,42760.0
117,32280.0
118,37634.0
119,24306.0
120,31602.0
121,39954.0
122,40600.0
123,34348.0
124,38860.0
125,34400.0
126,36030.0
127,34854.0
128,31336.0
129,38320.0
130,35640.0
131,27680.0
132,37580.0
133,29360.0
134,37400.0
135,38840.0
136,33760.0
137,42800.0
138,37360.0
139,32474.0
140,23496.0
141,31120.0
142,41500.0
143,31056.0
144,38840.0
145,41500.0
146,32310.0
147,41300.0
148,32980.0
149,45460.0
150,34680.0
151,39700.0
152,34080.0
153,32064.0
154,37880.0
155,30186.0
156,35000.0
157,25160.0
158,36284.0
159,27864.0
160,32912.0
161,44300.0
162,30400.0
163,37282.0
164,25832.0
165,32156.0
166,31368.0
167,40920.0
168,29570.0
169,30776.0
170,29612.0
171,40266.0
172,29328.0
173,41638.0
174,41540.0
175,35000.0
176,32818.0
177,42846.0
178,31158.0
179,39200.0
180,41700.0
181,32672.0
182,30178.0
183,29360.0
184,35300.0
185,38000.0
186,35086.0
187,41300.0
188,24348.0
189,39800.0
190,41772.0
191,43360.0
192,35542.0
193,27186.0
194,27992.0
195,33520.0
196,32870.0
197,33160.0
198,34480.0
199,45540.0
200,39320.0
201,38480.0
202,28800.0
203,34320.0
204,34800.0
205,32218.0
206,44280.0
207,32412.0
208,39400.0
209,25258.0
210,31162.0
211,25586.0
212,28078.0
213,33480.0
214,30424.0
215,35550.0
216,34708.0
217,33800.0
218,35720.0
219,33920.0
220,42740.0
221,31080.0
222,29544.0
223,38000.0
224,37040.0
225,29280.0
226,24056.0
227,25482.0
228,31736.0
229,31802.0
230,39250.0
231,27482.0
232,36760.0
233,34520.0
234,44700.0
235,29544.0
236,34360.0
237,33720.0
238,34400.0
239,23466.0
240,33858.0
241,35580.0
242,38000.0
243,34764.0
244,39780.0
245,28670.0
246,31620.0
247,35160.0
248,35800.0
249,38080.0
250,34580.0
251,34860.0
252,33200.0
253,32980.0
254,36000.0
255,37840.0
256,29604.0
257,37080.0
258,33398.0
259,30440.0
260,32160.0
261,30998.0
262,36960.0
263,31200.0
264,37152.0
265,34040.0
266,38134.0
267,34160.0
268,40400.0
269,29734.0
270,27544.0
271,38400.0
272,33480.0
273,38320.0
274,37760.0
275,30442.0
276,44540.0
277,37480.0
278,34560.0
279,27910.0
280,31200.0
281,36640.0
282,43300.0
283,36920.0
284,22752.0
285,41040.0
286,39200.0
287,34320.0
288,28380.0
289,26336.0
290,32760.0
291,24602.0
292,42600.0
293,31860.0
294,30338.0
295,34238.0
296,39440.0
297,35760.0
298,36070.0
299,38316.0
300,35360.0
301,34080.0
302,40240.0
303,23592.0
304,33540.0
305,25422.0
306,33724.0
307,31170.0
308,39860.0
309,27418.0
310,34100.0
311,34040.0
312,35400.0
313,30180.0
314,33720.0
315,36220.0
316,36800.0
317,33080.0
318,31706.0
319,28452.0
320,45760.0
321,42200.0
322,29906.0
323,33720.0
324,31244.0
325,34726.0
326,42920.0
327,39334.0
328,34720.0
329,41920.0
330,30400.0
331,27248.0
332,30736.0
333,27886.0
334,39820.0
335,36014.0
336,37040.0
337,30720.0
338,41580.0
339,36680.0
340,34320.0
341,35240.0
342,26196.0
343,41480.0
344,34428.0
345,38600.0
346,36834.0
347,44100.0
348,48700.0
349,42080.0
350,23340.0
351,35150.0
352,39820.0
353,28396.0
354,32972.0
355,39038.0
356,32776.0
357,33588.0
358,37740.0
359,37914.0
360,39240.0
361,42700.0
362,33176.0
363,41960.0
364,35244.0
365,34960.0
366,27936.0
367,37580.0
368,36466.0
369,42830.0
370,27560.0
371,43380.0
372,32240.0
373,35240.0
374,25440.0
375,38480.0
376,31894.0
377,35880.0
378,31068.0
379,40920.0
380,34160.0
381,35014.0
382,35786.0
383,37746.0
384,34200.0
385,35554.0
386,29250.0
387,34294.0
388,39680.0
389,31354.0
390,43860.0
391,35960.0
392,30108.0
393,38388.0
394,43560.0
395,37006.0
396,46840.0
397,33612.0
398,40300.0
399,30340.0
400,36120.0
401,33304.0
402,38080.0
403,46020.0
404,35954.0
405,25340.0
406,35242.0
407,41960.0
408,38160.0
409,44880.0
410,37680.0
411,38550.0
412,44500.0
413,37460.0
414,36850.0
415,44300.0
416,45900.0
417,25672.0
418,42200.0
419,36880.0
420,42400.0
421,39700.0
422,32034.0
423,41800.0
424,35360.0
425,41948.0
426,39120.0
427,33130.0
428,37800.0
429,41274.0
430,39800.0
431,28684.0
432,33142.0
433,37080.0
434,33706.0
435,34320.0
436,37440.0
437,40652.0
438,28250.0
439,47800.0
440,41380.0
441,39180.0
442,29948.0
443,40018.0
444,38720.0
445,40260.0
446,27680.0
447,34840.0
448,39160.0
449,34550.0
450,46100.0
451,42500.0
452,42194.0
453,26880.0
454,30866.0
455,33960.0
456,35830.0
457,37560.0
458,24474.0
459,47320.0
460,36560.0
461,38400.0
462,33320.0
463,46820.0
464,27802.0
465,42640.0
466,46960.0
467,40680.0
468,36242.0
469,40120.0
470,35800.0
471,34280.0
472,41100.0
473,45500.0
474,40540.0
475,32698.0
476,28292.0
477,25734.0
478,27720.0
479,38028.0
480,42540.0
481,37320.0
482,46700.0
483,35034.0
484,42880.0
485,31760.0
486,34236.0
487,29262.0
488,40690.0
489,36934.0
490,45780.0
491,45160.0
492,41480.0
493,36464.0
494,25608.0
495,46626.0
496,37752.0
497,44740.0
498,27204.0
499,23760.0
500,33600.0
501,34840.0
502,32272.0
503,37800.0
504,38542.0
505,37400.0
506,40600.0
507,31620.0
508,35840.0
509,31316.0
510,31280.0
511,39680.0
512,42620.0
513,26190.0
514,31586.0
515,30862.0
516,30920.0
517,36000.0
518,41000.0
519,31080.0
520,38948.0
521,32560.0
522,39334.0
523,34516.0
524,33920.0
525,40560.0
526,42500.0
527,38280.0
528,42740.0
529,28710.0
530,26276.0
531,37708.0
532,37058.0
533,31240.0
534,33308.0
535,29362.0
536,32436.0
537,31332.0
538,37966.0
539,32228.0
540,46000.0
541,40262.0
542,30522.0
543,41420.0
544,46680.0
545,29610.0
546,39120.0
547,29440.0
548,30800.0
549,36514.0
550,35968.0
551,38014.0
552,36528.0
553,37080.0
554,30886.0
555,45100.0
556,38420.0
557,39764.0
558,38760.0
559,35692.0
560,37362.0
561,32678.0
562,29196.0
563,36724.0
564,37340.0
565,30404.0
566,33786.0
567,39040.0
568,33140.0
569,40240.0
570,35246.0
571,31560.0
572,34508.0
573,41100.0
574,27562.0
575,41620.0
576,34446.0
577,36276.0
578,33686.0
579,39320.0
580,27078.0
581,32142.0
582,38080.0
583,31520.0
584,32884.0
585,39200.0
586,34470.0
587,30360.0
588,34758.0
589,38120.0
590,40900.0
591,33440.0
592,42700.0
593,26112.0
594,24484.0
595,31736.0
596,33720.0
597,21240.0
598,28704.0
599,38556.0
600,40180.0
601,42400.0
602,40180.0
603,48580.0
604,39680.0
605,36000.0
606,25608.0
607,34406.0
608,27238.0
609,32360.0
610,34454.0
611,27610.0
612,42240.0
613,32560.0
614,36320.0
615,29044.0
616,27640.0
617,41300.0
618,27428.0
619,28008.0
620,43420.0
621,39160.0
622,40630.0
623,33004.0
624,40436.0
625,46460.0
626,35480.0
627,42580.0
628,32936.0
629,31840.0
630,29360.0
631,28752.0
632,33134.0
633,40320.0
634,31752.0
635,31040.0
636,27552.0
637,43040.0
638,39794.0
639,27268.0
640,29976.0
641,46440.0
642,36780.0
643,27692.0
644,34780.0
645,27886.0
646,35680.0
647,29558.0
648,43460.0
649,40200.0
650,28754.0
651,33312.0
652,35954.0
653,25374.0
654,33800.0
655,38216.0
656,37660.0
657,39400.0
658,36660.0
659,34960.0
660,36000.0
661,37578.0
662,38160.0
663,37240.0
664,35720.0
665,32360.0
666,37776.0
667,22794.0
668,39382.0
669,34232.0
670,38640.0
671,33760.0
672,26120.0
673,45236.0
674,38000.0
675,41540.0
676,34148.0
677,47020.0
678,33276.0
679,32640.0
680,30354.0
681,36678.0
682,47440.0
683,35044.0
684,28506.0
685,35752.0
686,35384.0
687,24356.0
688,40440.0
689,33560.0
690,40500.0
691,38840.0
692,38620.0
693,34318.0
694,31392.0
695,32872.0
696,28504.0
697,33786.0
698,35500.0
699,26168.0
700,47720.0
701,36240.0
702,37166.0
703,42660.0
704,42160.0
705,38146.0
706,28548.0
707,34120.0
708,36320.0
709,39160.0
710,35400.0
711,43500.0
712,30424.0
713,33880.0
714,37812.0
715,38380.0
716,35968.0
717,39448.0
718,43760.0
719,25600.0
720,32452.0
721,37762.0
722,35260.0
723,31396.0
724,36860.0
725,41536.0
726,33320.0
727,26518.0
728,27218.0
729,40540.0
730,29924.0
731,37104.0
732,37680.0
733,38160.0
734,42854.0
735,39700.0
736,31268.0
737,46860.0
738,29536.0
739,40988.0
740,27450.0
741,33704.0
742,34298.0
743,43500.0
744,31194.0
745,41060.0
746,30660.0
747,28680.0
748,26866.0
749,36182.0
750,38924.0
751,33600.0
752,49120.0
753,48800.0
754,42560.0
755,41200.0
756,42000.0
757,38372.0
758,37110.0
759,30546.0
760,25820.0
761,36892.0
762,40014.0
763,28750.0
764,47240.0
765,28262.0
766,40540.0
767,40580.0
768,36040.0
769,41920.0
770,37720.0
771,32546.0
772,39800.0
773,42860.0
774,32280.0
775,33840.0
776,34680.0
777,31776.0
778,44700.0
779,33994.0
780,33480.0
781,36318.0
782,33704.0
783,41606.0
784,31320.0
785,32240.0
786,34120.0
787,25920.0
788,44374.0
789,32082.0
790,35940.0
791,37772.0
792,35982.0
793,35444.0
794,28112.0
795,40700.0
796,26428.0
797,35580.0
798,28356.0
799,43452.0
800,42000.0
801,37342.0
802,40880.0
803,41180.0
804,34120.0
805,34306.0
806,39676.0
807,24848.0
808,32188.0
809,49000.0
810,39240.0
811,42440.0
812,40580.0
813,33680.0
814,34614.0
815,31242.0
816,39560.0
817,34600.0
818,44940.0
819,37368.0
820,37000.0
821,39820.0
822,46060.0
823,32368.0
824,29482.0
825,29562.0
826,31418.0
827,34400.0
828,31814.0
829,36202.0
830,34040.0
831,33840.0
832,33462.0
833,31680.0
834,29234.0
835,34982.0
836,32932.0
837,31770.0
838,38560.0
839,37874.0
840,30258.0
841,41260.0
842,29606.0
843,40780.0
844,40600.0
845,27902.0
846,34142.0
847,37652.0
848,22332.0
849,39200.0
850,30132.0
851,30340.0
852,47000.0
853,40380.0
854,38100.0
855,30752.0
856,50100.0
857,41660.0
858,40280.0
859,32754.0
860,34600.0
861,30466.0
862,40320.0
863,42540.0
864,33934.0
865,42580.0
866,38480.0
867,40572.0
868,46200.0
869,36800.0
870,29328.0
871,30360.0
872,35282.0
873,34026.0
874,36860.0
875,30506.0
876,27976.0
877,42032.0
878,40220.0
879,22000.0
880,30960.0
881,35886.0
882,32640.0
883,35014.0
884,42100.0
885,46460.0
886,37834.0
887,38020.0
888,39440.0
889,36760.0
890,43800.0
891,29612.0
892,38660.0
893,32624.0
894,30302.0
895,43600.0
896,29560.0
897,39390.0
898,40696.0
899,27828.0
900,34360.0
901,32384.0
902,36280.0
903,39622.0
904,43558.0
905,35492.0
906,32744.0
907,33668.0
908,38180.0
909,35280.0
910,25094.0
911,29658.0
912,37010.0
913,38770.0
914,40200.0
915,43634.0
916,38720.0
917,32980.0
918,35760.0
919,31320.0
920,36724.0
921,37062.0
922,41580.0
923,33238.0
924,34136.0
925,21240.0
926,34206.0
927,37846.0
928,41160.0
929,39414.0
930,34200.0
931,39720.0
932,42600.0
933,32000.0
934,39546.0
935,35592.0
936,36688.0
937,30290.0
938,25972.0
939,33880.0
940,28786.0
941,39800.0
942,48000.0
943,40220.0
944,33276.0
945,36204.0
946,43100.0
947,30744.0
948,27100.0
949,40190.0
950,26100.0
951,35062.0
952,31808.0
953,43880.0
954,25914.0
955,39800.0
956,38120.0
957,33062.0
958,28456.0
959,40800.0
960,37194.0
961,27126.0
962,28338.0
963,31894.0
964,37110.0
965,34068.0
966,45180.0
967,25914.0
968,30056.0
969,31320.0
970,41474.0
971,37044.0
972,31120.0
973,44400.0
974,42200.0
975,37680.0
976,28238.0
977,31222.0
978,31222.0
979,37920.0
980,27418.0
981,34628.0
982,30982.0
983,35120.0
984,41800.0
985,35548.0
986,32160.0
987,37120.0
988,28072.0
989,31360.0
990,28960.0
991,41940.0
992,28800.0
993,30840.0
994,33906.0
995,40980.0
996,36142.0
997,41260.0
998,39040.0
999,28726.0
1000,32364.0
1001,33934.0
1002,30186.0
1003,32896.0
1004,30144.0
1005,49300.0
1006,39880.0
1007,33440.0
1008,39334.0
1009,32542.0
1010,38500.0
1011,40380.0
1012,35980.0
1013,31402.0
1014,36620.0
1015,38500.0
1016,38380.0
1017,27886.0
1018,24684.0
1019,44440.0
1020,44280.0
1021,28040.0
1022,38474.0
1023,33508.0
1024,44740.0
1025,38598.0
1026,34680.0
1027,39800.0
1028,37940.0
1029,38880.0
1030,35240.0
1031,34094.0
1032,33532.0
1033,36680.0
1034,38400.0
1035,33406.0
1036,35276.0
1037,24600.0
1038,33380.0
1039,36720.0
1040,36660.0
1041,31800.0
1042,30438.0
1043,29164.0
1044,31368.0
1045,39040.0
1046,36284.0
