episode,reward
0,14685.0
1,15599.5
2,21862.5
3,14317.5
4,12750.0
5,16428.0
6,15810.0
7,20512.5
8,12750.0
9,15510.0
10,13672.5
11,15157.5
12,11917.5
13,12750.0
14,16785.0
15,12979.0
16,12462.0
17,14527.5
18,16800.0
19,12509.0
20,18060.0
21,15585.0
22,13185.5
23,15312.0
24,17625.0
25,16350.0
26,13427.5
27,19387.5
28,17160.0
29,16282.5
30,14955.0
31,11882.5
32,10434.0
33,14081.0
34,16147.5
35,21787.5
36,13106.0
37,15390.0
38,11757.0
39,10300.0
40,13912.5
41,17550.0
42,10300.0
43,13057.0
44,15225.0
45,14076.5
46,15915.0
47,19230.0
48,23595.0
49,13954.0
50,19387.5
51,16462.5
52,13740.0
53,17002.5
54,13527.5
55,16426.5
56,15506.0
57,11760.0
58,21502.5
59,17700.0
60,12887.0
61,22500.0
62,20520.0
63,20782.5
64,12840.0
65,15534.0
66,15180.0
67,19950.0
68,15000.0
69,15263.5
70,19113.5
71,14482.5
72,17017.5
73,13705.5
74,12791.0
75,15585.0
76,19680.0
77,12791.0
78,18600.0
79,15116.0
80,18870.0
81,14940.0
82,15630.0
83,15180.0
84,12462.0
85,19981.0
86,16102.5
87,17925.0
88,14730.0
89,17617.5
90,17325.0
91,16783.0
92,20467.5
93,16912.5
94,14415.0
95,14264.5
96,19815.0
97,16395.0
98,18060.0
99,18382.5
100,20332.5
101,16200.0
102,12454.5
103,13740.0
104,15495.0
105,12971.0
106,16260.0
107,15450.0
108,10400.0
109,14337.5
110,12133.0
111,11549.5
112,14302.5
113,14685.0
114,16800.0
115,15133.0
116,18937.5
117,16642.5
118,14261.5
119,17790.0
120,13402.5
121,18600.0
122,15930.0
123,13695.0
124,12900.0
125,11782.5
126,19410.0
127,22912.5
128,16147.5
129,13762.5
130,12165.0
131,15045.0
132,17700.0
133,14235.0
134,16335.0
135,18862.5
136,21075.0
137,20182.5
138,18937.5
139,21435.0
140,19005.0
141,18937.5
142,20092.5
143,14778.0
144,19522.5
145,15675.0
146,19350.0
147,13807.5
148,20130.0
149,16380.0
150,10300.0
151,15967.5
152,18900.0
153,14684.0
154,16575.0
155,21337.5
156,23062.5
157,19470.0
158,13447.5
159,22875.0
160,10426.0
161,19275.0
162,13775.0
163,15337.5
164,14370.0
165,13588.0
166,13807.5
167,14410.0
168,14077.5
169,14273.0
170,19477.5
171,18667.5
172,13852.5
173,16012.5
174,16035.0
175,13500.0
176,11737.5
177,13566.5
178,13785.0
179,18157.0
180,16845.0
181,22950.0
182,17013.0
183,18540.0
184,16575.0
185,19140.0
186,18262.5
187,15765.0
188,17092.5
189,11378.0
190,18900.0
191,22717.5
192,18082.5
193,16080.0
194,15922.5
195,17700.0
196,13200.0
197,12650.0
198,18787.5
199,19162.5
200,21952.5
201,16710.0
202,12390.0
203,12362.0
204,11545.5
205,21292.5
206,13945.5
207,22950.0
208,18470.5
209,14932.5
210,17850.0
211,14273.0
212,17287.0
213,12795.0
214,17790.0
215,12862.5
216,24000.0
217,15405.0
218,18150.0
219,15855.0
220,15439.0
221,21675.0
222,13736.0
223,21405.0
224,18825.0
225,19882.5
226,13897.5
227,11062.5
228,21030.0
229,18727.5
230,18262.5
231,16416.0
232,15967.5
233,16237.5
234,18870.0
235,17812.5
236,15562.5
237,16215.0
238,18060.0
239,19912.5
240,14157.0
241,21367.5
242,19537.5
243,11427.0
244,16875.0
245,20490.0
246,12840.0
247,18285.0
248,16035.0
249,21705.0
250,14406.5
251,22102.5
252,16102.5
253,10300.0
254,15315.0
255,13889.0
256,12979.0
257,16350.0
258,16327.5
259,22575.0
260,19477.5
261,18802.5
262,12822.0
263,21810.0
264,17812.5
265,11206.5
266,19807.5
267,14955.0
268,15225.0
269,14900.5
270,20692.5
271,15337.5
272,21030.0
273,18000.0
274,18187.5
275,21705.0
276,17745.0
277,17992.5
278,16575.0
279,18142.5
280,22852.5
281,13065.0
282,20715.0
283,12385.0
284,15780.0
285,17625.0
286,13920.0
287,15075.0
288,11378.0
289,17970.0
290,13875.0
291,21337.5
292,21750.0
293,16350.0
294,14145.0
295,13942.5
296,17205.0
297,17302.5
298,15812.0
299,19485.0
300,16867.5
301,15900.0
302,12300.0
303,15877.5
304,15967.5
305,11490.0
306,20197.5
307,16575.0
308,18870.0
309,16777.5
310,18892.5
311,14342.5
312,15675.0
313,17610.0
314,16080.0
315,16897.5
316,13740.0
317,15877.5
318,19770.0
319,16170.0
320,14032.5
321,12907.5
322,15060.0
323,19072.5
324,19072.5
325,11402.5
326,15855.0
327,18075.0
328,12390.0
329,17812.5
330,13965.0
331,20902.5
332,17625.0
333,18600.0
334,14010.0
335,16950.0
336,22350.0
337,18037.5
338,18383.0
339,18712.5
340,17137.5
341,15000.0
342,15000.0
343,15135.0
344,19882.5
345,10441.0
346,15302.0
347,19950.0
348,13891.5
349,16890.0
350,16057.5
351,15090.0
352,18187.5
353,17150.0
354,12994.5
355,17025.0
356,17250.0
357,11549.5
358,14684.0
359,21435.0
360,19162.5
361,13470.0
362,22042.5
363,17812.5
364,21750.0
365,15361.0
366,20107.5
367,11868.5
368,21472.5
369,18787.5
370,12750.0
371,16440.0
372,13683.0
373,15675.0
374,12525.0
375,12750.0
376,17002.5
377,14437.5
378,14414.5
379,10300.0
380,18712.5
381,18150.0
382,22725.0
383,18825.0
384,11206.5
385,17662.5
386,18195.0
387,16016.5
388,19500.0
389,10300.0
390,14932.5
391,16602.0
392,13897.5
393,15787.5
394,13987.5
395,17137.5
396,13762.5
397,14662.5
398,18600.0
399,18960.0
400,22425.0
401,15607.5
402,20557.5
403,18525.0
404,21232.5
405,21165.0
406,19185.0
407,19725.0
408,17272.5
409,13515.0
410,20175.0
411,24000.0
412,19050.0
413,23025.0
414,14730.0
415,15270.0
416,19387.5
417,16125.0
418,24000.0
419,13087.5
420,18915.0
421,17047.5
422,14415.0
423,14865.0
424,17812.5
425,17662.5
426,19500.0
427,20980.0
428,10432.0
429,15247.5
430,15377.0
431,20340.0
432,15952.5
433,16575.0
434,13560.0
435,20332.5
436,13588.0
437,14820.0
438,15922.5
439,14758.0
440,11819.0
441,17025.0
442,18187.5
443,11355.5
444,17467.5
445,16237.5
446,19117.5
447,18712.5
448,16170.0
449,18487.5
450,17700.0
451,18937.5
452,16665.0
453,23025.0
454,15360.0
455,23062.5
456,20002.5
457,14992.5
458,22237.5
459,17115.0
460,14752.5
461,18472.5
462,16260.0
463,16597.5
464,21030.0
465,21210.0
466,19095.0
467,13717.5
468,19410.0
469,12176.5
470,19492.5
471,17340.0
472,17250.0
473,17424.0
474,22462.5
475,13285.0
476,20490.0
477,12556.0
478,18585.0
479,19365.0
480,16687.5
481,14550.0
482,16912.5
483,17655.0
484,18937.5
485,14212.5
486,16035.0
487,12480.0
488,13605.0
489,15652.5
490,22845.0
491,14136.0
492,13785.0
493,18735.0
494,20175.0
495,16237.5
496,13830.0
497,19387.5
498,17340.0
499,19725.0
500,11670.0
501,13785.0
502,16890.0
503,20895.0
504,19837.5
505,18960.0
506,19500.0
507,15350.5
508,15045.0
509,17475.0
510,14705.0
511,17325.0
512,12255.0
513,12431.5
514,11745.5
515,15049.0
516,14684.0
517,15757.5
518,18487.5
519,19125.0
520,15067.0
521,14550.0
522,11985.0
523,16665.0
524,16987.5
525,16237.5
526,18300.0
527,13740.0
528,11512.5
529,20885.0
530,10364.0
531,18712.5
532,12450.0
533,19387.5
534,12133.0
535,19260.0
536,16845.0
537,11647.5
538,17534.5
539,20355.0
540,14415.0
541,18637.5
542,15072.5
543,18600.0
544,10500.0
545,20490.0
546,19087.5
547,15000.0
548,19162.5
549,19987.5
550,16395.0
551,16291.0
552,16935.0
553,15450.0
554,14294.0
555,18037.5
556,18075.0
557,18712.5
558,19387.5
559,11895.0
560,13560.0
561,14173.5
562,18847.5
563,16387.5
564,14670.5
565,13021.5
566,22650.0
567,17325.0
568,19710.0
569,16400.0
570,12497.0
571,22192.5
572,21082.5
573,19275.0
574,16035.0
575,16875.0
576,21300.0
577,18937.5
578,13605.0
579,19050.0
580,20962.5
581,12525.0
582,13717.5
583,13785.0
584,22537.5
585,21229.5
586,16800.0
587,12636.0
