episode,reward
0,-65575.0
1,-93201.1
2,-77634.5
3,-76850.0
4,-59053.0
5,-97170.1
6,-76484.1
7,-73776.0
8,-76297.0
9,-63477.09999999998
10,-81730.79999999999
11,-93756.9
12,-61564.0
13,-64906.399999999994
14,-83982.9
15,-83837.10000000003
16,-77609.20000000001
17,-65277.5
18,-76788.9
19,-86169.9
20,-89191.5
21,-58351.0
22,-49766.0
23,-70294.0
24,-77343.6
25,-73643.79999999999
26,-80477.79999999999
27,-65009.100000000006
28,-73607.29999999999
29,-70771.70000000001
30,-58817.0
31,-77259.1
32,-59646.0
33,-75175.0
34,-92085.4
35,-78584.0
36,-69404.6
37,-77251.70000000001
38,-70441.0
39,-73310.20000000001
40,-72945.29999999999
41,-85908.79999999999
42,-78040.5
43,-79368.0
44,-68980.0
45,-68672.79999999999
46,-76214.9
47,-67676.0
48,-59750.899999999994
49,-79107.4
50,-69211.5
51,-70982.79999999999
52,-72107.0
53,-63419.399999999994
54,-82763.5
55,-71787.5
56,-77226.5
57,-78016.5
58,-75756.9
59,-68007.1
60,-61607.70000000001
61,-75996.0
62,-64247.0
63,-58754.0
64,-49693.0
65,-80265.20000000001
66,-63020.59999999998
67,-78434.29999999999
68,-72573.4
69,-84256.5
70,-76762.90000000002
71,-68350.80000000002
72,-79129.0
73,-71728.1
74,-62937.19999999998
75,-79316.79999999999
76,-69074.6
77,-80007.29999999999
78,-59264.0
79,-84214.9
80,-68888.0
81,-57819.20000000001
82,-73335.29999999999
83,-65527.399999999994
84,-67678.80000000002
85,-74338.70000000001
86,-66290.0
87,-75811.0
88,-73723.0
89,-70613.29999999999
90,-81651.79999999999
91,-75027.09999999998
92,-65898.4
93,-75594.90000000002
94,-71467.20000000001
95,-70386.00000000003
96,-82537.1
97,-76979.20000000001
98,-69437.9
99,-58704.600000000006
100,-59909.100000000006
101,-62073.0
102,-78072.9
103,-54611.0
104,-72777.79999999999
105,-68016.0
106,-62387.5
107,-57588.100000000006
108,-75641.0
109,-72575.70000000001
110,-62474.0
111,-71709.20000000001
112,-75563.9
113,-80987.5
114,-85120.29999999999
115,-72633.0
116,-82187.4
117,-71147.4
118,-75585.6
119,-72229.9
120,-71736.0
121,-77405.1
122,-66957.6
123,-79463.09999999998
124,-61515.0
125,-81946.0
126,-76334.0
127,-64116.0
128,-75158.5
129,-66040.59999999998
130,-86698.5
131,-64870.20000000001
132,-83483.69999999998
133,-83077.70000000001
134,-77527.0
135,-63838.0
136,-73154.0
137,-58210.0
138,-71528.5
139,-59812.29999999999
140,-87536.0
141,-66870.1
142,-58879.70000000001
143,-65553.5
144,-73652.9
145,-61147.79999999999
146,-74466.70000000001
147,-61533.899999999994
